Controller,SignedForce_N,Impulse_Ns,Outcome,Fell,Recovered,PeakForceInducedLateralDisplacement_m,PeakForceInducedLateralTilt_deg,LateForceInducedLateralDisplacementRMS_m,LateForceInducedLateralTiltRMS_deg,LateForceInducedLateralVelocityRMS_m_s,LateralDisplacementLateEarlyRatio,LateralTiltLateEarlyRatio,PeakAbsoluteVerticalDrop_m,PeakAbsoluteHorizontalTravel_m,PeakAbsoluteRotationDeviation_deg,MotorTrackingRMS_Nm,MotorTrackingPeak_Nm,MotorSameSignPercent,PeakDeliveredMotorTorque_Nm,MotorTorqueLimitReached,ResidualTorqueRMS_Nm,PeakResidualTorque_Nm,PeakNormalizedAction,ResidualNearBoundSamplePercent
A,0,0,nominal_upright,0,0,0,0,0,0,0,0,0,0.0573744855420835,0.045844422450834,13.5024822696834,10.6359341998514,63.499910221613,89.115929941618,70.2326006474711,0,0,0,0,0
D,0,0,nominal_upright,0,0,0,0,0,0,0,0,0,0.0356752457355003,0.0323696188706548,10.0531215042648,10.9693677924139,63.6584670105081,88.5491108525843,71.0270402020954,0,0,0,0,0
RL75,0,0,nominal_upright,0,0,0,0,0,0,0,0,0,0.0340719806917216,0.0985643085691452,4.943833517228,9.87750988795268,65.6467503346911,87.2265055219837,77.3588912953765,0,7.34661429329778,15,1,17.4636174636175
A,100,10,fell,1,0,0.685910294813596,30.3747772137717,NaN,NaN,NaN,NaN,NaN,0.132745414902187,0.685900318124501,30.369396823657,9.92437040188619,64.44010941136,84.9258160237389,86.4143627287896,0,0,0,0,0
D,100,10,fell,1,0,1.00624288651113,30.1393932478092,NaN,NaN,NaN,NaN,NaN,0.225817424172726,1.00659183753742,30.1396970921841,3.28651825876104,17.9224223974036,93.8061938061938,100.054082198816,1,0,0,0,0
RL75,100,10,fell,1,0,0.805554232996047,31.9971222690481,NaN,NaN,NaN,NaN,NaN,0.17509343658855,0.720608952445317,30.0268575856653,11.2168942944218,63.3454881359618,81.5223386651958,99.2607901370971,1,5.47968778010228,15,1,5.49450549450549
A,-100,10,upright_not_recovered,0,0,0.139145095397738,3.80427109843263,0.0286098358106602,2.96301219681517,0.00231501436138289,0.424571387126083,1.23314842230001,0.0355971829853354,0.140419550866521,7.34530545272275,5.19033049402618,65.5152118417653,93.6001667708985,79.2134851090116,0,0,0,0,0
D,-100,10,fell,1,0,1.01837245521133,30.254543877631,NaN,NaN,NaN,NaN,NaN,0.255795889476054,1.01914935677176,30.2541445887141,3.6116513125267,22.7535988677637,94.2446043165468,100.259584438985,1,0,0,0,0
RL75,-100,10,upright_not_recovered,0,0,0.0839012502622885,5.92243125270548,0.0326403898293731,4.60016004842334,0.0662834265078886,0.584308888305145,1.00066764237234,0.032475077023451,0.118025331668681,6.54777784356036,10.9285544011492,64.1159148897977,82.7284105131414,77.0758291128073,0,11.1508191112637,15,1,48.024948024948
A,150,15,fell,1,0,0.671474283804696,30.3341524836946,NaN,NaN,NaN,NaN,NaN,0.136486722783136,0.671713829847707,30.3328818620141,9.48842998136953,63.4451364138363,85.2781546811398,86.1420016533919,0,0,0,0,0
D,150,15,fell,1,0,1.01682139659505,30.0089296629362,NaN,NaN,NaN,NaN,NaN,0.227671111086386,1.01712744876577,30.0092203778761,3.37746614227996,20.8985086664498,93.8427707531611,100.445430070884,1,0,0,0,0
RL75,150,15,fell,1,0,0.808882953976779,31.2969060156181,NaN,NaN,NaN,NaN,NaN,0.185600761811444,0.749371466705093,30.7405880744828,10.2061967913143,64.1717736993167,83.3120204603581,100.080351944528,1,5.03268711754869,14.9999937415123,0.999999582767487,3.82165605095541
A,-150,15,upright_not_recovered,0,0,0.176335673054978,6.25602894047925,0.0390988706574207,0.584434250402148,0.00100418380105907,0.501404311233782,0.180946629904553,0.0445558056251718,0.177389165829576,8.723942747955,4.83571841397041,65.3604377195944,94.9156074182121,78.239796708789,0,0,0,0,0
D,-150,15,fell,1,0,1.01311610527938,24.036735661334,NaN,NaN,NaN,NaN,NaN,0.178762309507819,1.01312654339613,24.0367087755706,2.76398316842928,17.8562175903712,95.1154865581219,100.114586602165,1,0,0,0,0
RL75,-150,15,upright_not_recovered,0,0,0.141717969912512,8.16930269395425,0.0608702774860291,5.42107234569726,0.105464265280582,0.784747544370617,1.07664813729104,0.0334740269835367,0.173553167727092,7.93665078880847,5.90494119672074,63.5402910419214,91.3152400835073,78.3037313023982,0,8.11231183470074,15,1,22.037422037422
