Controller,Axis,DirectionSign,SignedForce_N,Impulse_Ns,Outcome,Fell,Recovered,FirstEnvelopeEntryTime_s,RecoveryTime_s,FallByVerticalDrop,FallByHorizontalTravel,FallByRotation,PeakVerticalDrop_m,PeakHorizontalTravel_m,PeakAbsoluteRotationDeviation_deg,ContactLoss,ContactLossDuration_s,ActuatorSaturation,ActuatorSaturationDuration_s,PeakForceInducedAxisDisplacement_m,PeakForceInducedAxisTilt_deg,LateForceInducedAxisDisplacementRMS_m,LateForceInducedAxisTiltRMS_deg,LateForceInducedAxisVelocityRMS_m_s,AxisDisplacementLateEarlyRatio,AxisTiltLateEarlyRatio,ForceInducedPostureRMS_deg,MaxForceInducedJointDeviation_deg,PurePDTorqueRMS_Nm,PeakPurePDTorque_Nm,AppliedTorqueRMS_Nm,PeakAppliedTorque_Nm,MinimumRightFootLoad_N,MinimumLeftFootLoad_N
A,lateral,1,25,2.5,recovered,0,1,0.725,1.45,0,0,0,0.00556589470558588,0.0225822174111145,0.874904256899846,0,0,0,0,0.02205592675829,0.440369767262963,0.00285276339448141,0.00907623469163963,0.000188017692261236,0.23251756554688,0.0284740670509326,0.293920650783267,1.8748886109406,2.27612959629067,13.9074857726649,5.17978765346804,24.8147979572713,204.584686281174,174.734250229787
A,lateral,-1,-25,2.5,recovered,0,1,1.375,1.375,0,0,0,0.00556589470558588,0.021681601207276,0.874904256899846,0,0,0,0,0.0210760814455527,0.44592457087715,0.00263468942775115,0.00870887898442936,0.000174918975589391,0.233223275077423,0.0277368698912422,0.268659362150673,1.76522345637258,2.25731539919195,13.9074857726649,5.15223193718516,24.8147979572713,174.572688308003,205.128532431518
D,lateral,1,25,2.5,recovered,0,1,0.675,1.825,0,0,0,0.00413777729344966,0.023171080748345,1.09523371694422,0,0,0,0,0.0231293823563591,0.415722705080682,0.00018200044061806,0.404603884495794,0.000195486755482489,0.0126366102818241,1.25376340843163,0.491689548396481,2.06724069061525,2.72647061111714,13.063764816408,5.00625314629945,23.6792991886728,194.116590906881,174.474847868793
D,lateral,-1,-25,2.5,recovered,0,1,0.675,1.7,0,0,0,0.00413777729344966,0.0217733982276971,1.23892829125435,0,0,0,0,0.0216910250366326,0.380097307567281,0.00139331730383609,0.373696791489644,0.000134557006192705,0.108179004146501,1.03574547008572,0.514936063210644,1.88531986563182,2.78988475190302,13.063764816408,5.09762061304993,23.6792991886728,174.671447176754,193.340077441437
A,lateral,1,50,5,recovered,0,1,1.75,1.75,0,0,0,0.00556589470558588,0.0456885006723158,1.06747722971639,0,0,0,0,0.0454772065015191,0.891889928421531,0.0060126359579023,0.0187654995162142,0.000395926328935044,0.229347114359784,0.0284930218171651,0.628724609713759,4.02931103360138,2.57014857076166,13.9074857726649,5.36661840781933,24.8147979572713,200.555276173142,142.722226921769
A,lateral,-1,-50,5,recovered,0,1,1.575,1.575,0,0,0,0.00556589470558588,0.0417547053151451,0.935532250673921,0,0,0,0,0.0414575222513498,0.907068143596502,0.00509852799880198,0.0172300872597614,0.000340571353172367,0.230971875800007,0.0271730827920167,0.52186635416093,3.61698231608401,2.43786395588675,13.9074857726649,5.25502688536403,24.8147979572713,141.907467608751,202.562374027551
D,lateral,1,50,5,upright_not_recovered,0,0,2.25,NaN,0,0,0,0.00413777729344966,0.0490990637210362,1.55498359868062,0,0,0,0,0.0490990227460963,1.00976333507627,0.000545049255347149,0.936177079860209,0.000345852251320325,0.0166217257743313,1.55591963661424,1.10539604961469,4.5983884162729,3.50848250682734,16.2256718181652,5.52528997094723,23.6792991886728,180.856048539132,141.383827260948
D,lateral,-1,-50,5,upright_not_recovered,0,0,2,NaN,0,0,0,0.00413777729344966,0.0426597925452006,1.78101165722464,0,0,0,0,0.042626003516583,0.827139910180344,0.00592240448384074,0.820262184640597,0.00079087794940006,0.233687575093917,1.07830447790091,1.21214364010151,3.86786736416499,3.97615608723067,13.3806780941721,5.92775382142805,23.6792991886728,142.393793087581,176.686402954871
A,lateral,1,75,7.5,recovered,0,1,1.975,2.525,0,0,0,0.00660021265945332,0.0716583475334225,1.71933977774514,0,0,0,0,0.0715759523499965,1.38993247979814,0.0097465688048928,0.0298177710970554,0.000640923966745853,0.224074736087547,0.0283491770940139,1.04327012416002,6.51343156213164,3.12970541673232,21.7440757445198,5.74951851095754,26.8884604510332,196.76122538372,112.61452975993
A,lateral,-1,-75,7.5,recovered,0,1,1.675,1.675,0,0,0,0.00576910546221621,0.0617907185392106,1.39465273467323,0,0,0,0,0.0616139620658902,1.39477852368253,0.00744786798288321,0.0259061347249896,0.00050101482752718,0.227318449475023,0.0266984374840691,0.769453015919867,5.54187912707527,2.69084637401154,18.0425750584798,5.41463544161813,24.8147979572713,110.762472645762,200.813405992937
D,lateral,1,75,7.5,upright_not_recovered,0,0,3.225,NaN,0,0,0,0.00566571561824558,0.0865124033899746,3.83754828754723,0,0,0,0,0.0864810622020948,1.99864879349639,0.000348751731439779,1.61394613010753,0.00104997514891574,0.0048085354402574,2.05965761608816,2.6152183644136,8.37185260105192,5.46547541060411,30.701066093597,7.2619157744527,36.654612835067,177.493628497176,105.719073358176
D,lateral,-1,-75,7.5,fell,1,0,NaN,NaN,1,1,1,2.30958106427742,1.95493572842042,114.30621903864,0,0,1,2.7375,1.8878687992231,114.306260324969,1.32242877222584,57.3888118013494,0.84832859404478,34.7472116185356,47.7079939411189,10.6641277060538,56.0789513227639,58.8422664175428,676.109466050372,24.859434182661,100,0,0
A,lateral,1,100,10,recovered,0,1,2.95,2.95,0,0,0,0.00999569047022675,0.103600834378045,3.00213501767699,0,0,0,0,0.10358609590975,1.96980693058943,0.0223805047603199,0.056712225083775,0.00154977164685468,0.31474261896526,0.0359410898151673,1.79996521125412,9.35091983371882,4.64884088026186,31.0615427696051,6.81628275659931,38.3263345918583,200.531858838661,85.7978014669498
A,lateral,-1,-100,10,recovered,0,1,1.75,2.3,0,0,0,0.00766034587760789,0.0814977227898898,1.90884768189347,0,0,0,0,0.0813895898213437,1.90897347090277,0.00966791339315544,0.0354773852296706,0.000654305116647714,0.222405602612318,0.0267546279996189,1.01329699342199,7.48287204534095,2.9856891714966,23.5459917651167,5.61882856646042,27.8502205502718,81.5891855003768,199.626740668523
D,lateral,1,100,10,fell,1,0,NaN,NaN,1,1,1,2.92016914155232,2.03469567703899,171.670187141001,0,0,1,5.5,1.97451211063943,171.670228427329,0.790700394048583,171.129519493624,0.0186522014707324,2.07796522846582,25.0104139194125,21.9020518487523,57.1206489420559,402.584628314138,1078.00817264869,45.341553136784,100,0,0
D,lateral,-1,-100,10,fell,1,0,NaN,NaN,1,1,1,2.92005688317683,2.031913094974,170.175787657883,0,0,1,5.8,1.97329839395921,170.175828944212,0.871230946992406,167.673723459687,0.0714997180340336,16.9418130435929,99.2125858293274,19.0837563986392,56.8317567148824,321.005264977923,1080.56278369195,39.9555875193736,100,0,0
A,sagittal,1,50,5,recovered,0,1,0.825,0.825,0,0,0,0.0234207376676294,0.0128526166401612,3.24886345711292,0,0,0,0,0.018022137041233,3.06092534878782,0.00107331657314712,0.427192369512354,0.000184010250374107,0.187325206620655,0.249706569799815,0.825158505992257,8.05488251423419,3.00066979643678,38.514988364651,5.50368086721044,41.0549279155599,88.3040620737639,88.3118224992313
