ResidualTorqueLimit_Nm,SignedForce_N,Outcome,Fell,Recovered,FinalActuatorSaturation,FirstSaturationTime_s,FirstSaturatedJoint,FirstSaturatedTorque_Nm,FirstFallThresholdTime_s,SaturationRelativeToFall,PeakAppliedTorque_Nm,PeakAppliedTorqueJoint,PeakAppliedTorqueTime_s
5,100,recovered,0,1,0,NaN,none,NaN,NaN,no_saturation,24.8169935278901,left_hip_frontal,0.1
5,-100,recovered,0,1,0,NaN,none,NaN,NaN,no_saturation,24.8169935278901,left_hip_frontal,0.1
5,150,fell,1,0,1,3.875,right_hip_sagittal,-100,4.7,before_fall_threshold,100,right_hip_sagittal,3.875
5,-150,recovered,0,1,0,NaN,none,NaN,NaN,no_saturation,33.0419170344197,left_hip_sagittal,2.2
5,185,fell,1,0,1,2.9,right_hip_sagittal,-100,3.725,before_fall_threshold,100,right_hip_sagittal,2.9
5,-185,recovered,0,1,0,NaN,none,NaN,NaN,no_saturation,39.7281471001465,left_hip_sagittal,2.2
10,100,recovered,0,1,0,NaN,none,NaN,NaN,no_saturation,24.8171822277846,left_hip_frontal,0.1
10,-100,recovered,0,1,0,NaN,none,NaN,NaN,no_saturation,24.8171822277846,left_hip_frontal,0.1
10,150,recovered,0,1,0,NaN,none,NaN,NaN,no_saturation,25.8276030849604,left_hip_sagittal,2.175
10,-150,recovered,0,1,0,NaN,none,NaN,NaN,no_saturation,29.1532373563069,left_hip_sagittal,2.15
10,185,fell,1,0,1,4.55,right_hip_sagittal,-100,5.375,before_fall_threshold,100,right_hip_sagittal,4.55
10,-185,recovered,0,1,0,NaN,none,NaN,NaN,no_saturation,35.8551139336201,left_hip_sagittal,2.175
15,100,recovered,0,1,0,NaN,none,NaN,NaN,no_saturation,24.8231816329079,left_hip_frontal,0.1
15,-100,recovered,0,1,0,NaN,none,NaN,NaN,no_saturation,24.8231816329079,left_hip_frontal,0.1
15,150,recovered,0,1,0,NaN,none,NaN,NaN,no_saturation,24.8231816329079,left_hip_frontal,0.1
15,-150,recovered,0,1,0,NaN,none,NaN,NaN,no_saturation,27.1884028213214,left_hip_sagittal,2.125
15,185,recovered,0,1,0,NaN,none,NaN,NaN,no_saturation,27.687040588051,left_hip_sagittal,2.15
15,-185,recovered,0,1,0,NaN,none,NaN,NaN,no_saturation,33.4107680656691,left_hip_sagittal,2.15
